1,0.1,0.01,0.001,0.0001,0.2,0.4,0.6,0.8,0.28,0.36,0.44,0.52,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.345,0.35,0.355,0.36,0.365,0.37,0.375,0.361,0.362,0.363,0.364,0.366,0.367,0.368,0.369,0.3682,0.3684,0.3686,0.3688,0.3692,0.3694,0.3696,0.3698,0.36884,0.36888,0.36892,0.36896,0.36904,0.36908,0.36912,0.36916
-6.844917033,-6.743545549,-6.731436294,-6.730308649,-6.730300263,-6.757009216,-6.781123286,-6.802292237,-6.82478475,-6.765456876,-6.775077259,-6.78545518,-6.794270935,-6.768005465,-6.770378709,-6.772735894,-6.775077259,-6.778749703,-6.781123286,-6.783130299,-6.773322709,-6.773908539,-6.774493388,-6.775077259,-6.775660156,-6.777556927,-6.778153792,-6.775193916,-6.775310535,-6.775427114,-6.775543655,-6.775776619,-6.775893043,-6.776009429,-6.776125775,-6.776032701,-6.776055972,-6.776079241,-6.776102509,-6.777461335,-6.777485236,-6.777509134,-6.777533032,-6.776107162,-6.776111816,-6.776116469,-6.776121122,-6.776130428,-6.776135081,-6.777451775,-6.777456555
-7.293772232,-7.194318982,-7.181100473,-7.180522851,-7.180519921,-7.205817177,-7.232186605,-7.252925563,-7.27382788,-7.215086964,-7.22559834,-7.236930957,-7.246023372,-7.21847126,-7.220862733,-7.223238348,-7.22559834,-7.22977207,-7.232186605,-7.234553206,-7.223829801,-7.224420282,-7.225009793,-7.22559834,-7.226185923,-7.22855872,-7.229165899,-7.225715933,-7.225833488,-7.225951005,-7.226068483,-7.226303325,-7.226420688,-7.226538013,-7.2266553,-7.226561474,-7.226584933,-7.22660839,-7.226631846,-7.228461477,-7.22848579,-7.228510102,-7.228534412,-7.226636537,-7.226641228,-7.226645919,-7.22665061,-7.226659991,-7.226664682,-7.228451752,-7.228456615
-7.965666421,-7.867087665,-7.856074667,-7.855915547,-7.855915156,-7.881384933,-7.911300515,-7.930047629,-7.946407537,-7.895116399,-7.906540852,-7.915102769,-7.924235821,-7.898542266,-7.901226515,-7.903892627,-7.906540852,-7.908723503,-7.911300515,-7.912621537,-7.90455635,-7.905218959,-7.905880458,-7.906540852,-7.907200143,-7.907428233,-7.908076379,-7.906672798,-7.906804699,-7.906936559,-7.907068372,-7.907331868,-7.907463551,-7.907595189,-7.907726784,-7.907621511,-7.907647833,-7.907674151,-7.907700467,-7.907324422,-7.907350377,-7.907376331,-7.907402284,-7.907705732,-7.907710994,-7.907716257,-7.907721522,-7.907732047,-7.90773731,-7.90731404,-7.907319232
-7.547089046,-7.444848354,-7.4304998,-7.430131576,-7.430130046,-7.458504759,-7.477914535,-7.503978669,-7.526578372,-7.466109926,-7.474140654,-7.483186845,-7.492519026,-7.467216222,-7.469541059,-7.471849115,-7.474140654,-7.4756808,-7.477914535,-7.48094177,-7.472423538,-7.472996933,-7.473569303,-7.474140654,-7.474710989,-7.474558304,-7.475120064,-7.474254802,-7.474368909,-7.474482976,-7.474597003,-7.474824934,-7.474938839,-7.475052703,-7.475166527,-7.475075471,-7.475098238,-7.475121002,-7.475143765,-7.474468336,-7.47449083,-7.474513323,-7.474535814,-7.475148318,-7.47515287,-7.475157423,-7.475161975,-7.475171079,-7.475175631,-7.474459337,-7.474463837
-7.712300892,-7.610435211,-7.596756353,-7.596488699,-7.596487752,-7.625358384,-7.645711453,-7.666255344,-7.691866924,-7.635415211,-7.644066011,-7.648947978,-7.657374568,-7.636597469,-7.639105734,-7.64159515,-7.644066011,-7.643422265,-7.645711453,-7.646739785,-7.642214593,-7.642832881,-7.643450019,-7.644066011,-7.644680862,-7.642271717,-7.642847437,-7.644189072,-7.644312087,-7.644435058,-7.644557982,-7.644803694,-7.644926482,-7.645049225,-7.645171923,-7.645073768,-7.64509831,-7.645122849,-7.645147386,-7.642179507,-7.642202562,-7.642225615,-7.642248667,-7.645152294,-7.645157201,-7.645162108,-7.645167016,-7.645176829,-7.645181737,-7.642170284,-7.642174896
-5.878930159,-5.779129459,-5.767441928,-5.766319269,-5.766262002,-5.791792023,-5.815760437,-5.837732217,-5.859102665,-5.801403071,-5.811277249,-5.820083984,-5.828967815,-5.804170516,-5.806555607,-5.808924439,-5.811277249,-5.813446868,-5.815760437,-5.817813585,-5.809514134,-5.810102832,-5.810690536,-5.811277249,-5.811862976,-5.812284331,-5.812866062,-5.811394473,-5.811511658,-5.811628804,-5.81174591,-5.811980003,-5.812096991,-5.81221394,-5.81233085,-5.812237325,-5.812260709,-5.812284091,-5.812307471,-5.812191164,-5.812214458,-5.812237751,-5.812261042,-5.812312147,-5.812316823,-5.812321499,-5.812326174,-5.812335525,-5.812340201,-5.812181846,-5.812186505
-5.91728335,-5.818042622,-5.806285829,-5.805158985,-5.805105427,-5.830947144,-5.854291144,-5.877142889,-5.897542274,-5.840708058,-5.849603689,-5.859407593,-5.868261949,-5.842578743,-5.844936376,-5.847277944,-5.849603689,-5.851993237,-5.854291144,-5.857116183,-5.847860854,-5.848442779,-5.849023723,-5.849603689,-5.85018268,-5.85083838,-5.851416376,-5.849719565,-5.849835402,-5.8499512,-5.85006696,-5.850298362,-5.850414005,-5.850529609,-5.850645175,-5.850552725,-5.85057584,-5.850598953,-5.850622065,-5.850745809,-5.850768954,-5.850792098,-5.850815239,-5.850626687,-5.850631309,-5.850635931,-5.850640553,-5.850649797,-5.850654418,-5.850736551,-5.85074118
-7.617416445,-7.514064105,-7.499857617,-7.499534771,-7.499533511,-7.528379978,-7.547315861,-7.57152937,-7.59670184,-7.536810482,-7.544835826,-7.551671995,-7.560576203,-7.537719239,-7.540109057,-7.542481159,-7.544835826,-7.545086967,-7.547315861,-7.549469162,-7.54307145,-7.543660654,-7.544248778,-7.544835826,-7.5454218,-7.543966843,-7.544527382,-7.544953106,-7.545070343,-7.545187539,-7.545304691,-7.545538866,-7.54565589,-7.545772871,-7.54588981,-7.545796263,-7.545819652,-7.54584304,-7.545866425,-7.543877068,-7.543899514,-7.543921959,-7.543944402,-7.545871103,-7.54587578,-7.545880457,-7.545885134,-7.545894487,-7.545899164,-7.543868089,-7.543872579
-6.010729878,-5.91162478,-5.89957326,-5.898388446,-5.898343068,-5.9237317,-5.947877005,-5.970386898,-5.990959065,-5.933454199,-5.943585516,-5.952541533,-5.961224279,-5.936444424,-5.938841115,-5.941221399,-5.943585516,-5.945561865,-5.947877005,-5.950255728,-5.941813934,-5.942405463,-5.942995989,-5.943585516,-5.944174048,-5.944398459,-5.944980675,-5.943703302,-5.943821048,-5.943938754,-5.944056421,-5.944291635,-5.944409182,-5.94452669,-5.944644158,-5.944550187,-5.944573682,-5.944597176,-5.944620668,-5.944305214,-5.944328527,-5.944351839,-5.94437515,-5.944625366,-5.944630064,-5.944634762,-5.94463946,-5.944648856,-5.944653554,-5.944295888,-5.944300551
